Address;Name;WPMsystem;WPM3;WPM3i;Comment;MinValue;MaxValue;DataType;Unit;Access;Enum
1501;BETRIEBSART;TRUE;TRUE;TRUE;;0;5;8;;r/w;NOTBETRIEB~0|BEREITSCHAFTSBETRIEB~1|PROGRAMMBETRIEB~2|KOMFORTBETRIEB~3|ECO-BETRIEB~4|WARMWASSERBETRIEB~5
1502;KOMFORT TEMPERATUR;TRUE;TRUE;TRUE;Heizkreis 1;5;30;2;°C;r/w;
1503;ECO TEMPERATUR;TRUE;TRUE;TRUE;Heizkreis 1;5;30;2;°C;r/w;
1504;STEIGUNG HEIZKURVE;TRUE;TRUE;TRUE;Heizkreis 1;0;3;7;;r/w;
1505;KOMFORT TEMPERATUR;TRUE;TRUE;TRUE;Heizkreis 2;5;30;2;°C;r/w;
1506;ECO TEMPERATUR;TRUE;TRUE;TRUE;Heizkreis 2;5;30;2;°C;r/w;
1507;STEIGUNG HEIZKURVE;TRUE;TRUE;TRUE;Heizkreis 2;0;3;7;;r/w;
1508;FESTWERTBETRIEB;TRUE;TRUE;TRUE;MinValue=AUS / 20;;70;2;°C;r/w;
1509;BIVALENZTEMPERATUR HZG;FALSE;TRUE;TRUE;Einsatzgrenzen beachten!;-40;40;2;°C;r/w;
1510;KOMFORT TEMPERATUR;TRUE;TRUE;TRUE;Warmwasser;10;60;2;°C;r/w;
1511;ECO TEMPERATUR;TRUE;TRUE;TRUE;Warmwasser;10;60;2;°C;r/w;
1512;WARMWASSERSTUFEN;TRUE;TRUE;TRUE;Achtung: Anzahl angeschlossener WP beachten;0;6;8;;r/w;
1513;BIVALENZTEMPERATUR WW;TRUE;TRUE;TRUE;Warmwassertemperaturen;-40;40;2;°C;r/w;
1514;VORLAUFSOLLTEMPERATUR;TRUE;TRUE;TRUE;Flächenkühlung;7;25;2;°C;r/w;
1515;HYSTERESE VORLAUFTEMP;FALSE;TRUE;TRUE;Kühlen;1;5;2;K;r/w;
1516;RAUMSOLLTEMPERATUR;TRUE;TRUE;TRUE;Flächenkühlung;20;30;2;°C;r/w;
1517;VORLAUFSOLLTEMPERATUR;TRUE;TRUE;TRUE;Gebläsekühlung;7;25;2;°C;r/w;
1518;HYSTERESE VORLAUFTEMP;FALSE;TRUE;TRUE;Gebläsekühlung;1;5;2;K;r/w;
1519;RAUMSOLLTEMPERATUR;TRUE;TRUE;TRUE;Gebläsekühlung;20;30;2;°C;r/w;
1520;RESET;TRUE;TRUE;TRUE;Achtung: Reset System ist ein Werks-Reset! Alle Einstellungen gehen dabei verloren!;1;3;6;;r/w;RESET SYSTEM~1|RESET FEHLERLISTE~2|RESET WAERMEPUMPE~3
1521;RESTART-ISG;TRUE;TRUE;TRUE;0;2;1;6;;r/w;AUS~0|RESTART~1|SERVICE TASTE~2
