Address;Name;WPMsystem;WPM3;WPM3i;Comment;MinValue;MaxValue;DataType;Unit;Access
3501;VD HEIZEN TAG;TRUE;TRUE;TRUE;Wärmemenge aller WP;0;65535;6;kWh;RO
3502;VD HEIZEN SUMME;TRUE;TRUE;TRUE;Wärmemenge aller WP;0;999;6;kWh;RO
3503;VD HEIZEN SUMME;TRUE;TRUE;TRUE;Wärmemenge aller WP;0;65535;6;MWh;RO
3504;VD WARMWASSER TAG;TRUE;TRUE;TRUE;Wärmemenge aller WP;0;65535;6;kWh;RO
3505;VD WARMWASSER SUMME;TRUE;TRUE;TRUE;Wärmemenge aller WP;0;999;6;kWh;RO
3506;VD WARMWASSER SUMME;TRUE;TRUE;TRUE;Wärmemenge aller WP;0;65535;6;MWh;RO
3507;NHZ HEIZEN SUMME;TRUE;TRUE;TRUE;Wärmemenge aller WP;0;999;6;kWh;RO
3508;NHZ HEIZEN SUMME;TRUE;TRUE;TRUE;Wärmemenge aller WP;0;65535;6;MWh;RO
3509;NHZ WARMWASSER SUMME;TRUE;TRUE;TRUE;Wärmemenge aller WP;0;999;6;kWh;RO
3510;NHZ WARMWASSER SUMME;TRUE;TRUE;TRUE;Wärmemenge aller WP;0;65535;6;MWh;RO
3511;VD HEIZEN TAG;TRUE;TRUE;TRUE;Leistungsaufnahme aller WP;0;65535;6;kWh;RO
3512;VD HEIZEN SUMME;TRUE;TRUE;TRUE;Leistungsaufnahme aller WP;0;999;6;kWh;RO
3513;VD HEIZEN SUMME;TRUE;TRUE;TRUE;Leistungsaufnahme aller WP;0;65535;6;MWh;RO
3514;VD WARMWASSER TAG;TRUE;TRUE;TRUE;Leistungsaufnahme aller WP;0;65535;6;kWh;RO
3515;VD WARMWASSER SUMME;TRUE;TRUE;TRUE;Leistungsaufnahme aller WP;0;999;6;kWh;RO
3516;VD WARMWASSER SUMME;TRUE;TRUE;TRUE;Leistungsaufnahme aller WP;0;65535;6;MWh;RO
3517;VD HEIZEN;FALSE;FALSE;TRUE;Laufzeit;0;999;6;h;RO
3518;VD WARMWASSER;FALSE;FALSE;TRUE;Laufzeit;0;999;6;h;RO
3519;VD KUEHLEN;FALSE;FALSE;TRUE;Laufzeit;0;999;6;h;RO
3520;NHZ 1;FALSE;FALSE;TRUE;Laufzeit;0;999;6;h;RO
3521;NHZ 2;FALSE;FALSE;TRUE;Laufzeit;0;999;6;h;RO
3522;NHZ 1/2;FALSE;FALSE;TRUE;Laufzeit;0;999;6;h;RO
3523;VD HEIZEN TAG;TRUE;TRUE;FALSE;Wärmemenge WP 1;0;65535;6;kWh;RO
3524;VD HEIZEN SUMME;TRUE;TRUE;FALSE;Wärmemenge WP 1;0;999;6;kWh;RO
3525;VD HEIZEN SUMME;TRUE;TRUE;FALSE;Wärmemenge WP 1;0;65535;6;MWh;RO
3526;VD WARMWASSER TAG;TRUE;TRUE;FALSE;Wärmemenge WP 1;0;65535;6;kWh;RO
3527;VD WARMWASSER SUMME;TRUE;TRUE;FALSE;Wärmemenge WP 1;0;999;6;kWh;RO
3528;VD WARMWASSER SUMME;TRUE;TRUE;FALSE;Wärmemenge WP 1;0;65535;6;MWh;RO
3529;NHZ HEIZEN SUMME;TRUE;TRUE;FALSE;Wärmemenge WP 1;0;999;6;kWh;RO
3530;NHZ HEIZEN SUMME;TRUE;TRUE;FALSE;Wärmemenge WP 1;0;65535;6;MWh;RO
