modbus;webid;ignore
30501;440;
30502;441;
30503;442;
30504;443;
30505;444;
30506;29;
30507;27;
30508;116;
30509;32;
30510;117;
30511;33;
30512;34;
30513;434;
30514;437;
30515;445;
30516;31;
30517;35;
30518;118;
30519;36;
30520;435;
30521;438;
30522;24;
30523;30;
30524;446;
30525;88;
30526;447;
30527;448;
30528;335;
30529;336;
30530;344;
30531;333;
30532;449;
30533;43;
30534;44;
30535;343;
30536;39;
30537;40;
30538;439;
30539;46;
30540;47;
30541;48;
30542;1006;
30543;1005;
30544;1030;
30545;1032;
30546;1076;
30547;1031;
30548;1088;
30549;2006;
30550;2005;
30551;2030;
30552;2032;
30553;2076;
30554;2031;
30555;2088;
30556;3006;
30557;3005;
30558;3030;
30559;3032;
30560;3076;
30561;3031;
30562;3088;
30563;4006;
30564;4005;
30565;4030;
30566;4032;
30567;4076;
30568;4031;
30569;4088;
30570;5006;
30571;5005;
30572;5030;
30573;5032;
30574;5076;
30575;5031;
30576;5088;
30577;6006;
30578;6005;
30579;6030;
30580;6032;
30581;6076;
30582;6031;
30583;6088;
32501;471;
32502;488;
32503;401;
32504;60014;
32505;60100;
32506;712;Ebv: ABTAUEN-VORANMELDUNG
32507;60013;
33501;50;
33502;51;
33503;52;
33504;54;
33505;55;
33506;56;
33507;58;
33508;59;
33509;61;
33510;62;
33511;64;
33512;65;
33513;66;
33514;68;
33515;69;
33516;70;
33517;74;
33518;75;
33519;76;
33520;71;
33521;72;
33522;73;
33523;1049;
33524;1050;
33525;1051;
33526;1053;
33527;1054;
33528;1055;
33529;1057;
33530;1058;
33531;1060;
33532;1061;
33533;1063;
33534;1064;
33535;1065;
33536;1067;
33537;1068;
33538;1069;
33539;1033;
33540;1034;
33541;1035;
33542;1039;
33543;1040;
33544;1041;
33545;1036;
33546;1042;
33547;1043;
33548;1044;
33549;2049;
33550;2050;
33551;2051;
33552;2053;
33553;2054;
33554;2055;
33555;2063;
33556;2064;
33557;2065;
33558;2067;
33559;2068;
33560;2069;
33561;2033;
33562;2034;
33563;2035;
33564;2039;
33565;2040;
33566;2041;
33567;2036;
33568;3049;
33569;3050;
33570;3051;
33571;3053;
33572;3054;
33573;3055;
33574;3063;
33575;3064;
33576;3065;
33577;3067;
33578;3068;
33579;3069;
33580;3033;
33581;3034;
33582;3035;
33583;3039;
33584;3040;
33585;3041;
33586;3036;
33587;4049;
33588;4050;
33589;4051;
33590;4053;
33591;4054;
33592;4055;
33593;4063;
33594;4064;
33595;4065;
33596;4067;
33597;4068;
33598;4069;
33599;4033;
33600;4034;
33601;4035;
33602;4039;
33603;4040;
33604;4041;
33605;4036;
33606;5049;
33607;5050;
33608;5051;
33609;5053;
33610;5054;
33611;5055;
33612;5063;
33613;5064;
33614;5065;
33615;5067;
33616;5068;
33617;5069;
33618;5033;
33619;5034;
33620;5035;
33621;5039;
33622;5040;
33623;5041;
33624;5036;
33625;6049;
33626;6050;
33627;6051;
33628;6053;
33629;6054;
33630;6055;
33631;6063;
33632;6064;
33633;6065;
33634;6067;
33635;6068;
33636;6069;
33637;6033;
33638;6034;
33639;6035;
33640;6039;
33641;6040;
33642;6041;
33643;6036;
35001;60306;SG-Ready-Betriebszustand
35002;60000;Reglerkennung
35003;60321;SG_READY_MODUL_EINGANG_1
35004;60322;SG_READY_MODUL_EINGANG_2
# Block 2;;
41501;1;
41502;16;
41503;17;
41504;25;
41505;19;
41506;20;
41507;26;
41508;35;
41509;41;
41510;22;
41511;23;
41512;399;
41513;42;
41514;92;
41515;91;
41516;90;
41517;88;
41518;87;
41519;86;
41520;480;
41521;60102;
44001;60305;SG_READY_AKTIV
